1-Jan-09, New Year's Day
2-Jan-09, Special Holiday
9-Feb-09, Makha Bucha Day
6-Apr-09,Chakri Day
13-Apr-09, Songkran Festival
14-Apr-09, Songkran Festival
15-Apr-09, Songkran Festival
1-May-09, National Labour Day
5-May-09, Coronation Day
8-May-09, Visakha Bucha Day
1-Jul-09, Mid Year's Closing Day
6-Jul-09, Special Holiday* (Encouraged spending and travelling)
7-Jul-09, Asarnha Bucha Day *
12-Aug-09, H.M. The Queen's Birthday
23-Oct-09, King Chulalongkorn Memorial Day
7-Dec-09, H.M. The King's Birthday*
10-Dec-09, Constitution Day
31-Dec-09, New Year's Eve
1-Jan-10,New Year's Day 
1-Mar-10,Makha Bucha Day*  
6-Apr-10,Chakri Day  
13-Apr-10,Songkran Festival
14-Apr-10,Songkran Festival
15-Apr-10,Songkran Festival
3-May-10,Labor Day*  
5-May-10,Coronation Day  
28-May-10,Visakha Bucha Day   
1-Jul-10,Mid-Year Day
26-Jul-10,Asarnha Bucha Day      
12-Aug-10,H.M. The Queen's Birthday
13-Aug-10,Extra holiday
25-Oct-10,Chulalongkorn Day*                         
6-Dec-10,H.M. The King's Birthday*  
10-Dec-10,Constitution Day  
31-Dec-10,New Year’s Eve
3-Jan-11,New Year's Day 
18-Feb-11,Makha Bucha Day*  
6-Apr-11,Chakri Day  
13-Apr-11,Songkran Festival
14-Apr-11,Songkran Festival
15-Apr-11,Songkran Festival
2-May-11,Labor Day*  
5-May-11,Coronation Day  
16-May-11,Extra holiday
17-May-11,Visakha Bucha Day   
1-Jul-11,Mid-Year Day
15-Jul-11,Asarnha Bucha Day      
12-Aug-11,H.M. The Queen's Birthday
24-Oct-11,Chulalongkorn Day*                         
5-Dec-11,H.M. The King's Birthday*  
12-Dec-11,Constitution Day*
2-Jan-12,New Year's Day *
3-Jan-12, Special Holiday
7-Mar-12,Makha Bucha Day
6-Apr-12,Chakri Day
9-Apr-12,Special Holiday
13-Apr-12,Songkran Festival
16-Apr-12,Songkran Festival
1-May-12,Labor Day
7-May-12,Coronation Day*
4-Jun-12,Visakha Bucha Day
1-Jul-12,Mid-Year Day
2-Aug-12,Asarnha Bucha Day
13-Aug-12,H.M. The Queen's Birthday
23-Oct-12,Chulalongkorn Day
5-Dec-12,H.M. The King's Birthday
10-Dec-12,Constitution Day
31-Dec-12,New Year’s Eve
1-Jan-13,New Year's Day
25-Feb-13,Makha Bucha Day
8-Apr-13,Chakri Day
15-Apr-13,Songkran Festival
16-Apr-13,Songkran Festival
1-May-13,Labor Day
6-May-13,Coronation Day*
24-May-13,Visakha Bucha Day
1-Jul-13,Mid-Year Day
22-Jul-13,Asarnha Bucha Day
12-Aug-13,H.M. The Queen's Birthday
23-Oct-13,Chulalongkorn Day
5-Dec-13,H.M. The King's Birthday
10-Dec-13,Constitution Day
30-Dec-13,Special Holiday
31-Dec-13,New Year’s Eve
1-Jan-14,New Year's Day
14-Feb-14,Makha Bucha Day
7-Apr-14,Chakri Day*
14-Apr-14,Songkran Festival
15-Apr-14,Songkran Festival
1-May-14,Labor Day
5-May-14,Coronation Day
13-May-14,Visakha Bucha Day
1-Jul-14,Mid-Year Day
11-Jul-14,Asarnha Bucha Day
11-Aug-14,Special Holiday
12-Aug-14,H.M. The Queen's Birthday
23-Oct-14,Chulalongkorn Day
5-Dec-14,H.M. The King's Birthday
10-Dec-14,Constitution Day
31-Dec-14,New Year’s Eve
1-Jan-15,New Year's Day
2-Jan-15,Special Holiday
4-Mar-15,Makha Bucha Day
6-Apr-15,Chakri Day
13-Apr-15,Songkran Festival
14-Apr-15,Songkran Festival
15-Apr-15,Songkran Festival
1-May-15,Labor Day
4-May-15,Special Holiday
5-May-15,Coronation Day
1-Jun-15,Visakha Bucha Day
1-Jul-15,Mid-Year Day
30-Jul-15,Asarnha Bucha Day
12-Aug-15,H.M. The Queen's Birthday
23-Oct-15,Chulalongkorn Day
7-Dec-15,H.M. The King's Birthday*  
10-Dec-15,Constitution Day
31-Dec-15,New Year’s Eve
1-Jan-16,New Year's Day
22-Feb-16,Makha Bucha Day
6-Apr-16,Chakri Day
13-Apr-16,Songkran Festival
14-Apr-16,Songkran Festival
15-Apr-16,Songkran Festival
2-May-16,Labor Day*  
5-May-16,Coronation Day
6-May-16,Special Holiday
20-May-16,Visakha Bucha Day
1-Jul-16,Mid-Year Day
18-Jul-16,Special Holiday
19-Jul-16,Asarnha Bucha Day
12-Aug-16,H.M. The Queen's Birthday
24-Oct-16,Chulalongkorn Day*                         
5-Dec-16,H.M. The King's Birthday
12-Dec-16,Constitution Day*
2-Jan-17,Special Holiday (For New Year Eve)
3-Jan-17,Special Holiday (For New Year Day)
13-Feb-17,Makha Bucha Day*  
6-Apr-17,Chakri Day
13-Apr-17,Songkran Festival
14-Apr-17,Songkran Festival
1-May-17,Labor Day
10-May-17,Visakha Bucha Day
10-Jul-17,Asarnha Bucha Day*
28-Jul-17,King Rama 10 Birthday
14-Aug-17,H.M. The Queen's Birthday*
13-Oct-17,King Rama 9 Passed Away Memorium Day
23-Oct-17,Chulalongkorn Day                   
26-Oct-17,Royal Cremation Day
5-Dec-17,H.M. The King's Birthday
11-Dec-17,Constitution Day*
1-Jan-18,New year day
2-Jan-18,New year day (Observed)
1-Mar-18,Makha Bucha Day
6-Apr-18,Chakri Day
13-Apr-18,Songkran Festival
16-Apr-18,Special Holiday (For Songkran Festival)
1-May-18,Labor Day*  
29-May-18,Visakha Bucha Day
27-Jul-18,Asarnha Bucha Day
30-Jul-18,King Rama 10 Birthday (Observed)
13-Aug-18,H.M. The Queen's Birthday
15-Oct-18,King Rama 9 Passed Away Memorium Day (Observed)
23-Oct-18,Chulalongkorn Day*                         
5-Dec-18,H.M. The King's Birthday
10-Dec-18,Constitution Day*
31-Dec-18,New Year Eve
1-Jan-19,New Year Day
19-Feb-19,Makha Bucha Day*  
8-Apr-19,Chakri Day (Observed)
15-Apr-19,Songkran Festival
16-Apr-19,Songkran Festival
1-May-19,Labor Day
6-May-19,Coronation Day (Observed)
20-May-19,Visakha Bucha Day (Observed)
3-Jun-19,H.M. The Queen Sudthida 's Birthday
16-Jul-19,Asarnha Bucha Day
29-Jul-19,King Rama 10 Birthday
12-Aug-19,H.M. The Queen's Birthday
14-Oct-19,King Rama 9 Passed Away Memorium Day
23-Oct-19,Chulalongkorn Day                   
5-Dec-19,H.M. The King's Birthday (King Rama 9)
10-Dec-19,Constitution Day*
31-Dec-19,New Year’s Eve
1-Jan-20,New Year Day
10-Feb-20,Makha Bucha Day
6-Apr-20,Chakri Day
1-May-20,Labor Day
4-May-20,Coronation Day
6-May-20,Visakha Bucha Day
3-Jun-20,H.M. The Queen Sudthida 's Birthday
6-Jul-20,Asarnha Bucha Day (Observed)
27-Jul-20,Songkran Festival***
28-Jul-20,King Rama 10 Birthday
12-Aug-20,H.M. The Queen's Birthday
4-Sep-20,Songkran Festival***
7-Sep-20,Songkran Festival***
13-Oct-20,King Rama 9 Passed Away Memorium Day
23-Oct-20,Chulalongkorn Day
7-Dec-20,H.M. The King's Birthday (King Rama 9) - Observed
10-Dec-20,Constitution Day
11-Dec-20,Special Holiday
31-Dec-20,New Year’s Eve
1-Jan-21,New Year Day
12-Feb-21,Special Holiday
26-Feb-21,Makha Bucha Day
6-Apr-21,Chakri Day
13-Apr-21,Songkran Festival
14-Apr-21,Songkran Festival
15-Apr-21,Songkran Festival
3-May-21,Labor Day (Observed)
4-May-21,Coronation Day
26-May-21,Visakha Bucha Day
3-Jun-21,H.M. The Queen Sudthida 's Birthday
26-Jul-21,Asarnha Bucha Day
28-Jul-21,King Rama 10 Birthday
12-Aug-21,H.M. The Queen's Birthday
24-Sep-21,Special Holiday
13-Oct-21,King Rama 9 Passed Away Memorium Day
22-Oct-21,Chulalongkorn Day (Observed)
6-Dec-21,H.M. The King's Birthday (King Rama 9)
10-Dec-21,Constitution Day
31-Dec-21,New Year’s Eve
3-Jan-22,New Year Day
16-Feb-22,Makha Bucha Day
6-Apr-22,Chakri Day
13-Apr-22,Songkran Festival
14-Apr-22,Songkran Festival
15-Apr-22,Songkran Festival
2-May-22,Labor Day (Observed)
4-May-22,Coronation Day
16-May-22,Visakha Bucha Day
3-Jun-22,H.M. The Queen Sudthida 's Birthday
13-Jul-22,Asarnha Bucha Day (Observed)
28-Jul-22,King Rama 10 Birthday
29-Jul-22,Special Holiday
12-Aug-22,H.M. The Queen's Birthday
13-Oct-22,King Rama 9 Passed Away Memorium Day
14-Oct-22,Special Holiday
24-Oct-22,Chulalongkorn Day
5-Dec-22,H.M. The King's Birthday (King Rama 9) - Observed
12-Dec-22,Constitution Day
2-Jan-23,New year day (Observed)
6-Mar-23,Makha Bucha Day
6-Apr-23,Chakri Day
13-Apr-23,Songkran Festival
14-Apr-23,Songkran Festival
1-May-23,Labor Day
4-May-23,Coronation Day
5-Jun-23,"H.M. The Queen Sudthida 's Birthday, Visakha Bucha Day (Observed)"
28-Jul-23,King Rama 10 Birthday
1-Aug-23,Asarnha Bucha Day
14-Aug-23,H.M. The Queen's Birthday (Observed)
13-Oct-23,King Rama 9 Passed Away Memorium Day
23-Oct-23,Chulalongkorn Day
5-Dec-23,H.M. The King's Birthday (King Rama 9)
11-Dec-23,Constitution Day (Observed)
